20170228;421
CD_ENTITY;DT_PERIOD;CD_TEAM;CD_INDIVIDUAL;CD_CLIENT;CD_FACTTYPE;CD_TYPEMDT;CD_PRODUCT;AM_AMOUNT;CCY;MICA_NODE;CATEGORY;UNIT_TYPE;CD_LEVEL;ROLE
600;20170228;FR00895;;;COST;CH10150;PR04060550;-1643.79257;EUR;MP10150030207;Actual;;;0
600;20170228;FR00890;;;COST;CH10150;PR04060550;-1623.13;EUR;MP10150010602;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-1590.2273;EUR;MP10150010602;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-1569.95742;EUR;MP10150010202;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-1414.79895;EUR;MP10150010603;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-1399.4167;EUR;MP10150030207;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-1317.66137;EUR;MP10150010603;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-1294.19;EUR;MP10150010701;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-1264.32078;EUR;MP10150010603;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-1245.33;EUR;MP10150030307;Actual;;;0
600;20170228;FR35890;;;COST;CH10150;PR04060550;-1229.26469;EUR;MP10150010603;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-1224.5;EUR;MP10150020402;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-1199.68;EUR;MP10150010701;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-1110.99;EUR;MP10150020502;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-1061.56;EUR;MP10150010701;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-1000.32;EUR;MP10150010701;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-960.5;EUR;MP10150020402;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-910.99553;EUR;MP10150010603;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-910.92;EUR;MP10150020700;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-898.72019;EUR;MP10150010603;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-872.83642;EUR;MP10150010603;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-858.60596;EUR;MP10150030207;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-733.08;EUR;MP10150010701;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-732.0131;EUR;MP10150010603;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-689.66;EUR;MP10150010701;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-656.28;EUR;MP10150020402;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-614.24516;EUR;MP10150030402;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-489.83;EUR;MP10150010701;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-444.8615;EUR;MP10150030402;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-423.03;EUR;MP10150020502;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-401.75;EUR;MP10150020402;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-396.66794;EUR;MP10150010202;Actual;;;0
600;20170228;FR04890;;;COST;CH10150;PR04060550;-356.26204;EUR;MP10150010603;Actual;;;0
600;20170228;FR40890;;;COST;CH10150;PR04060550;-356.09;EUR;MP10150010701;Actual;;;0
600;20170228;FR38890;;;COST;CH10150;PR04060550;-341.36;EUR;MP10150010701;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-325.69449;EUR;MP10150020603;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-312.38;EUR;MP10150020402;Actual;;;0
600;20170228;FR11890;;;COST;CH10150;PR04060550;-306.05;EUR;MP10150020402;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-305.74;EUR;MP10150020502;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-305.51;EUR;MP10150020502;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-298.02181;EUR;MP10150030207;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-293.83;EUR;MP10150030605;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-280.42;EUR;MP10150030406;Actual;;;0
600;20170228;FR35890;;;COST;CH10150;PR04060550;-267.66;EUR;MP10150010701;Actual;;;0
600;20170228;FR00895;;;COST;CH10150;PR04060550;-249.25;EUR;MP10150010701;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-242.99432;EUR;MP10150030505;Actual;;;0
600;20170228;FR00890;;;COST;CH10150;PR04060550;-231.57;EUR;MP10150020502;Actual;;;0
600;20170228;FR00891;;;COST;CH10150;PR04060550;-221.7;EUR;MP10150030307;Actual;;;0
600;20170228;FR60890;;;COST;CH10150;PR04060550;-209.69;EUR;MP10150010701;Actual;;;0
600;20170228;FR00890;;;COST;CH10150;PR04060550;-173.42;EUR;MP10150030513;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-134.21423;EUR;MP10150030207;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-126.77425;EUR;MP10150030505;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-123.43468;EUR;MP10150030402;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-118.47;EUR;MP10150010701;Actual;;;0
600;20170228;FR00898;;;COST;CH10150;PR04060550;-118.05;EUR;MP10150030207;Actual;;;0
600;20170228;FR28890;;;COST;CH10150;PR04060550;-114.5;EUR;MP10150010701;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-91.94127;EUR;MP10150020603;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-85.6457;EUR;MP10150030505;Actual;;;0
600;20170228;FR31890;;;COST;CH10150;PR04060550;-82.92318;EUR;MP10150030402;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-82.31608;EUR;MP10150030505;Actual;;;0
600;20170228;FR08890;;;COST;CH10150;PR04060550;-75.16609;EUR;MP10150020603;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-69.80985;EUR;MP10150030505;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-69.61;EUR;MP10150020502;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-68.49356;EUR;MP10150030505;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-67.17727;EUR;MP10150030505;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-66.66468;EUR;MP10150030402;Actual;;;0
600;20170228;FR26890;;;COST;CH10150;PR04060550;-64.45;EUR;MP10150020502;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-64.39844;EUR;MP10150030505;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-62.86975;EUR;MP10150020603;Actual;;;0
600;20170228;FR33890;;;COST;CH10150;PR04060550;-62.44247;EUR;MP10150020603;Actual;;;0
600;20170228;FR00897;;;COST;CH10150;PR04060550;-60.02318;EUR;MP10150020603;Actual;;;0
600;20170228;FR02890;;;COST;CH10150;PR04060550;-52.39084;EUR;MP10150030402;Actual;;;0
600;20170228;FR00892;;;COST;CH10150;PR04060550;-51.69923;EUR;MP10150030505;Actual;;;0
600;20170228;FR01890;;;COST;CH10150;PR04060550;-51.25;EUR;MP10150020502;Actual;;;0
600;20170228;FR00894;;;COST;CH10150;PR04060550;-50.66948;EUR;MP10150020603;Actual;;;0
600;20170228;FR50890;;;COST;CH10150;PR04060550;-49.73529;EUR;MP10150020603;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-48.8011;EUR;MP10150020603;Actual;;;0
600;20170228;FR34890;;;COST;CH10150;PR04060550;-48.74468;EUR;MP10150030402;Actual;;;0
600;20170228;FR37890;;;COST;CH10150;PR04060550;-46.82891;EUR;MP10150020603;Actual;;;0
